省（区、市）,Unnamed: 0,问卷编码,行政代码,市,县（市、区）,乡（镇、街道）,村（社区）,填表人姓名,身份证号,职务,手机（必填）,报酬模式,状态,创建人,提交人,"村庄面积/农户数筛选（0.1,3）",正常村庄面积下限,正常村庄面积上限,"村庄人口数/农户数（1,7）",正常村庄人口数下限,正常村庄人口数上限,"宅基地宗数/农户数(0.5,5）",正常宅基地宗数下限,正常宅基地宗数下限.1,小于宅基地面积下限,正常宅基地面积下限,超出宅基地面积上限,正常宅基地面积上限,村庄面积,村庄与县城的距离,农户数,村庄人口数,宅基地宗数,宅基地面积,宅基地面积超过本地规定标准的农户数,有两处及以上宅基地的农户数,符合申请条件但未分配宅基地的农户数,空闲废弃宅基地宗数,常年闲置宅基地宗数,季节性闲置宅基地宗数,本村是否存在农房出租、出卖等流转情况,出租（宗）,出租本村村民(宗),出卖（宗）,出卖本村村民(宗),本村是否存在利用农房开展农家乐、民宿等经营性活动的情况,利用情况（宗）,本村是否开展了闲置宅基地复垦,复垦面积（亩）,本地是否停止了宅基地审批,最后一次审批宅基地（年份）,2019年全村共审批宅基地（宗）,其中占用农用地（宗）,本村是否编制了村庄规划,本村是否制定了宅基地分配办法,本村宅基地和农房是否发证,证书类型,本村是否有宅基地权属纠纷,本村是否存在未批先建、乱占耕地建房等宅基地违法现象,本村对超标准占用宅基地、一户占有多处宅基地如何处理,本村是否建设了农村新社区或农民公寓、农民小区等集中居住区,村集体是否获得宅基地增值收益,收益来源,宅基地总面积下限,宅基地总面积上限
云南省,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,110,78,78,110,8,8,110,15,15,110,26,110,36,112,112,111,112,112,112,112,112,112,112,112,112,112,33,33,33,33,112,26,112,54,112,43,69,69,112,112,112,27,112,112,112,112,112,7,112,112
四川省,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,207,158,158,207,6,6,207,24,24,207,34,207,32,208,208,207,208,207,208,208,207,208,208,208,208,208,50,50,50,50,208,40,208,101,208,47,161,161,208,208,208,36,208,208,208,208,208,11,208,208
广东省,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,190,190,308,3,3,308,51,51,308,82,308,96,308,308,308,308,307,308,308,308,308,307,308,308,308,103,103,103,103,308,47,308,91,308,112,196,196,308,308,308,201,308,308,308,308,308,26,308,308
广西壮族自治区,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,105,105,167,3,3,167,24,24,167,50,167,33,167,167,167,167,167,167,167,167,166,167,167,167,167,24,24,24,24,167,10,167,85,167,28,139,139,167,167,167,79,167,167,167,167,167,19,167,167
湖北省,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,297,297,382,7,7,382,44,44,382,45,382,101,382,382,382,382,381,382,382,382,382,382,382,382,382,99,99,99,99,382,106,382,263,382,230,152,152,382,382,382,191,382,382,382,382,382,131,382,382
湖南省,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,208,208,284,5,5,284,33,33,284,55,284,71,284,284,284,284,282,284,284,284,284,284,284,283,284,83,83,83,83,284,47,284,159,284,84,200,199,284,284,284,225,284,284,284,284,284,72,284,284
西藏自治区,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,48,48,68,19,19,68,3,3,68,10,68,31,68,68,68,68,68,68,68,68,68,68,68,68,68,6,6,6,6,68,6,68,8,68,17,51,51,68,68,68,30,68,68,68,68,68,2,68,68
贵州省,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,86,86,120,7,7,120,15,15,120,20,120,43,120,120,120,120,120,120,120,120,120,120,120,120,120,34,34,34,34,120,27,120,58,120,43,77,77,120,120,120,42,120,120,120,120,120,15,120,120
陕西省,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,231,112,112,231,4,4,231,55,55,231,62,231,56,232,232,232,232,231,232,231,232,232,232,232,232,232,73,73,73,73,232,36,232,103,232,131,101,99,232,232,232,162,232,232,232,232,232,11,232,232
黑龙江省,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,40,40,124,1,1,124,30,30,124,4,124,81,124,124,124,124,124,124,124,124,124,124,124,124,124,81,81,81,81,124,13,124,15,124,81,43,43,124,124,124,104,124,124,124,124,124,0,124,124
